Expression	Period
0	PN0#Myonuclei
1.81505080370736	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.97488449060745	PN0#Myonuclei
2.88594384543757	PN0#Myonuclei
0	PN0#Myonuclei
1.49815506628049	PN0#Myonuclei
1.62596052042962	PN0#Myonuclei
2.50489479408477	PN0#Myonuclei
2.51789875472167	PN0#Myonuclei
3.08542793606403	PN0#Myonuclei
2.3252609739204	PN0#Myonuclei
0	PN0#Myonuclei
3.41653776649935	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
3.46868552847317	PN0#Myonuclei
0	PN0#Myonuclei
1.83335888087173	PN0#Myonuclei
1.68522662049341	PN0#Myonuclei
3.27181948952774	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.6502724004354	PN0#Myonuclei
0	PN0#Myonuclei
2.96960841540871	PN0#Myonuclei
2.6108298331905	PN0#Myonuclei
1.81333117234219	PN0#Myonuclei
0	PN0#Myonuclei
2.81286777189737	PN0#Myonuclei
2.89208914568366	PN0#Myonuclei
0	PN0#Myonuclei
1.9174857665439	PN0#Myonuclei
1.82327557732498	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
3.74976287573552	PN0#Myonuclei
1.9650079517119	PN0#Myonuclei
2.63873239053848	PN0#Myonuclei
0	PN0#Myonuclei
2.71235409996139	PN0#Myonuclei
2.05803927498675	PN0#Myonuclei
1.29157767271088	PN0#Myonuclei
3.24710437029891	PN0#Myonuclei
1.38952805448106	PN0#Myonuclei
3.43537071328358	PN0#Myonuclei
2.62853577431505	PN0#Myonuclei
2.42468423852617	PN0#Myonuclei
2.19556703662817	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.0397859513725	PN0#Myonuclei
1.66581905683477	PN0#Myonuclei
2.62200140529596	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.5521227959038	PN0#Myonuclei
0	PN0#Myonuclei
2.56698253592636	PN0#Myonuclei
0	PN0#Myonuclei
1.71671439966477	PN0#Myonuclei
2.92138441586844	PN0#Myonuclei
0	PN0#Myonuclei
2.00898929169822	PN0#Myonuclei
0	PN0#Myonuclei
2.41303178782513	PN0#Myonuclei
2.6874351932467	PN0#Myonuclei
2.47198915915551	PN0#Myonuclei
0	PN0#Myonuclei
2.08040463766988	PN0#Myonuclei
1.98315971203179	PN0#Myonuclei
2.88394903757839	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.61904748346797	PN0#Myonuclei
2.19509408385393	PN0#Myonuclei
0	PN0#Myonuclei
3.29300046200666	PN0#Myonuclei
